"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000287735",26.1552399878068,-0.149823247021344,0.553392821936579,-0.270735797578731,0.786594242170663,0.999990448165512,NA
"ENSG00000222489",7.56945523865896,0.311262727744584,0.982251401584978,0.316887028353764,0.751329325061208,0.999990448165512,"SNORA79B"
"ENSG00000129566",1271.15137340648,0.0756525657141354,0.22576605424236,0.335092739995899,0.737555129240014,0.999990448165512,"TEP1"
"ENSG00000092094",519.854526845775,-0.0725471723013528,0.237922405810722,-0.304919463360956,0.76042749161388,0.999990448165512,"OSGEP"
"ENSG00000258515",31.1373531393764,-0.141021915729302,0.536598088988706,-0.262807338719892,0.792699078838668,0.999990448165512,NA
"ENSG00000100823",4226.90937827756,0.0995932593216362,0.253205732723285,0.3933294015522,0.694076205305612,0.999990448165512,"APEX1"
"ENSG00000259144",16.3459898768642,0.0975829661366993,0.693987117777879,0.140612071372674,0.888176411415037,0.999990448165512,NA
"ENSG00000258471",2.00092461289225,0.128764166108636,1.84742346700602,0.0696993236300688,0.944432980139336,0.999990448165512,"LOC101929718"
"ENSG00000165794",2.61121309652312,-4.30607792347369,2.18055889663083,-1.97475882450458,0.0482955238029263,0.999990448165512,"SLC39A2"
"ENSG00000165801",544.972044115785,0.174251106809335,0.246844229236611,0.705915254118856,0.480240840732299,0.999990448165512,"ARHGEF40"
"ENSG00000165804",856.981318220456,-0.0538632994096195,0.243843130787302,-0.220893240813099,0.825175560484631,0.999990448165512,"ZNF219"
"ENSG00000258441",390.447323840033,0.712427742343611,0.335114205460954,2.12592522409982,0.0335094862301135,0.999990448165512,"LINC00641"
"ENSG00000092201",6049.40445267086,0.0242705539509849,0.204298261807913,0.118799610609535,0.905434117188838,0.999990448165512,"SUPT16H"
"ENSG00000199436",4.59028436944497,0.111333900692919,1.34976076665796,0.0824841730794891,0.934261703497865,0.999990448165512,"SNORD9"
"ENSG00000214274",23.2757416771788,-0.0221385180985051,0.684623912575938,-0.0323367584623324,0.97420349550921,0.999990448165512,"ANG"
"ENSG00000243904",5.05338490636184,0.974713898728176,1.17466547624332,0.829779982847023,0.406663190284206,0.999990448165512,"RPSAP5"
"ENSG00000244691",129.580018822404,0.052795677088427,0.325082174837149,0.162407173247427,0.870985222397211,0.999990448165512,"RPL10AP1"
"ENSG00000260285",97.8627485851111,0.0457158610903652,0.5192575105957,0.0880408278311069,0.929844226195805,0.999990448165512,NA
"ENSG00000166166",707.479808413667,0.270169834729216,0.254932962231535,1.05976815380917,0.289250088224289,0.999990448165512,"TRMT61A"
"ENSG00000252469",1.60104824402008,-1.19022194555671,2.09683320809928,-0.567628336369022,0.570287361949681,0.999990448165512,"RNU7-160P"
"ENSG00000258851",5.47734824833002,-1.45181307688739,1.19877114869118,-1.21108443298163,0.22586304689894,0.999990448165512,NA
"ENSG00000246451",248.982710135142,-0.00157543596565381,0.282565777186696,-0.0055754662908555,0.995551444575097,0.999990448165512,NA
"ENSG00000270108",31.9744710444581,-0.519274263078016,0.596639700491072,-0.870331395397626,0.384119326421955,0.999990448165512,NA
"ENSG00000269910",6.56444220698697,0.129116638491175,1.03891946372312,0.124279737746434,0.901093789849101,0.999990448165512,NA
"ENSG00000269940",29.7930927180679,0.0902625229888836,0.537423907083706,0.167954052283768,0.86661942646544,0.999990448165512,NA
